0.127,2.349,294.62
0.132,2.3159,294.62
0.287,0.56101,294.62
0.547,0.7277,294.63
0.58,0.56373,294.62
0.958,0.28623,294.62
0.98,0.35345,294.62
1.051,0.39728,294.63
1.051,0.29918,294.62
1.067,0.38929,294.62
1.093,0.30566,294.62
1.154,0.3043,294.62
1.192,0.30356,294.62
1.211,0.29168,294.62
1.222,0.29154,294.65
1.231,0.29653,294.62
1.262,0.30267,294.62
1.278,0.27854,294.62
1.291,0.29968,294.65
1.363,0.28586,294.63
1.364,0.29017,294.63
1.366,0.30359,294.62
1.395,0.30024,294.65
1.411,0.35497,294.62
1.412,0.30518,294.62
1.447,0.28868,294.64
1.463,0.31271,294.63
1.464,0.30393,294.64
1.471,0.30209,294.63
1.498,0.33113,294.62
1.498,0.287,294.65
1.505,0.36798,294.62
1.505,0.29652,294.65
1.51,0.29148,294.65
1.528,0.3681,294.62
1.53,0.3169,294.62
1.549,0.30268,294.65
1.554,0.29127,294.65
1.583,0.30973,294.64
1.621,0.28588,294.64
1.629,0.29658,294.65
1.634,0.29204,294.64
1.641,0.30855,294.62
1.65,0.30396,294.62
1.652,0.30441,294.65
1.665,0.29725,294.62
1.696,0.30076,294.65
1.715,0.29578,294.65
1.746,0.33426,294.65
1.764,0.28619,294.62
1.764,0.30261,294.62
1.782,0.3092,294.62
1.797,0.33683,294.62
1.828,0.29427,294.62
1.883,0.29036,294.66
2.197,0.2882,294.66
2.656,0.29093,294.66
3.087,0.31877,294.67
3.358,0.3054,294.67
3.509,0.31028,294.65
3.616,0.2943,294.62
3.817,0.30962,294.61
4.097,0.29921,294.61
4.384,0.28731,294.61
4.652,0.29043,294.62
4.904,0.28427,294.63
5.16,0.30315,294.61
5.392,0.3115,294.58
5.61,0.30881,294.55
5.803,0.3042,294.54
5.981,0.30135,294.53
6.157,0.33703,294.52
6.332,0.3021,294.51
6.503,0.30919,294.5
6.679,0.3244,294.5
6.904,0.31686,294.5
7.225,0.32271,294.49
7.606,0.33548,294.46
7.975,0.33589,294.41
8.311,0.34386,294.37
8.583,0.36215,294.33
8.8,0.37558,294.29
8.996,0.36588,294.27
9.188,0.36027,294.26
9.424,0.3694,294.26
9.705,0.38651,294.26
10.025,0.38453,294.24
10.353,0.38012,294.23
10.686,0.37294,294.21
10.995,0.37882,294.19
11.29,0.39112,294.16
11.59,0.40748,294.14
11.911,0.39072,294.11
12.257,0.43122,294.08
12.627,0.45503,294.04
12.982,0.44528,294.01
13.315,0.46315,293.99
13.606,0.42675,293.97
13.881,0.44087,293.96
14.169,0.44248,293.94
14.472,0.46316,293.92
14.795,0.44948,293.89
15.129,0.45781,293.88
15.449,0.4598,293.85
15.725,0.44995,293.82
15.935,0.47654,293.8
16.112,0.47695,293.78
16.265,0.4918,293.77
16.418,0.4839,293.76
16.606,0.4716,293.75
16.862,0.48184,293.74
17.194,0.45822,293.72
17.596,0.3745,293.67
18.057,0.40357,293.59
18.547,0.38263,293.51
19.003,0.35742,293.42
19.394,0.41324,293.34
19.692,0.44743,293.28
19.901,0.43604,293.26
20.063,0.43229,293.22
20.213,0.43489,293.19
20.384,0.43326,293.17
20.614,0.41134,293.16
20.916,0.40686,293.15
21.285,0.47326,293.09
21.689,0.57892,293
22.101,0.53721,292.93
22.469,0.50073,292.9
22.757,0.35995,292.9
22.948,0.33561,292.9
23.089,0.34097,292.89
23.234,0.3527,292.88
23.449,0.32662,292.86
23.778,0.34208,292.83
24.178,0.328,292.8
24.629,0.29065,292.77
25.074,0.31057,292.75
25.457,0.31652,292.73
25.75,0.28394,292.72
25.969,0.2958,292.71
26.155,0.28093,292.71
26.38,0.30008,292.7
26.662,0.29069,292.68
27.006,0.25668,292.66
27.382,0.28305,292.62
27.773,0.22763,292.56
28.133,0.23213,292.52
28.464,0.24778,292.49
28.765,0.21503,292.46
29.05,0.22847,292.43
