NODE0,1997,1995
NODE1,1690,1710
NODE2,1550,1550
NODE3,1101,1200
NODE4,601,400
NODE5,12,12
NODE6,-1400,-1400
NODE7,-1999,-1999
NODE8,-2200,-2200
NODE9,-2505,-2540
NODE10,-2800,-2800
NODE11,1690,1710
NODE12,1550,1550
NODE13,1101,1200
NODE14,601,400
NODE15,12,12
NODE16,-7400,-7400
NODE17,-7999,-7999
NODE18,-7200,-7200
NODE19,-7505,-7540
NODE20,-7800,-7800
SINK0,2000,2000
SINK1,-2000,-2000
SINK2,-9000,-9000
AUV,1999,1999
WP0,1700,1700
WP1,1500,1500
WP2,1300,1300
WP3,1100,1100
WP4,900,900
WP5,600,600
WP6,0,0
WP7,-1500,-1500
WP8,-1600,-1600
WP9,-2000,-2000
WP10,-2100,-2100
WP11,-2300,-2300
WP12,-2500,-2500
WP13,-3999,-3999
WP14,-4500,-4500
WP15,-5000,-5000
WP16,-6000,-6000
WP17,-7000,-7000
WP18,-8000,-8000
WP19,-9000,-9000
 

